epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2214,0,22.6188,0,0.00333,1,0.16583,0.05923,1.76989,3.68159,2.53249,0,0,0
2,18.7172,0,22.7004,0,0.00333,1,0.16583,0.0597,1.80617,3.74078,2.53316,1.901e-05,1.901e-05,1.901e-05
3,27.3598,0,22.5834,0,0.00333,1,0.199,0.0731,1.9667,3.83553,2.5811,3.604e-05,3.604e-05,3.604e-05
4,36.1727,0,22.4437,0,0.00333,1,0.16583,0.0732,2.01211,3.85999,2.6093,5.109e-05,5.109e-05,5.109e-05
5,44.1664,0,22.323,0,0.00333,1,0.14214,0.06633,2.01518,3.871,2.62326,6.416e-05,6.416e-05,6.416e-05
6,52.3224,0,22.1893,0,0.00333,1,0.12437,0.06146,1.96026,3.83124,2.61799,7.525e-05,7.525e-05,7.525e-05
7,61.0941,0,21.9944,0,0.00333,1,0.199,0.08375,1.97044,3.57113,2.59614,8.436e-05,8.436e-05,8.436e-05
8,69.6234,0,21.911,0,0.00333,1,0.24875,0.07131,1.85191,3.58731,2.57054,9.149e-05,9.149e-05,9.149e-05
9,77.4772,0,21.8842,0,0.00333,1,0.0995,0.0556,1.75323,3.63836,2.55551,9.664e-05,9.664e-05,9.664e-05
10,85.6298,0,21.6529,0,0.00333,1,0.199,0.07583,1.7044,3.59474,2.52565,9.981e-05,9.981e-05,9.981e-05
11,93.7018,0,21.616,0,0.00333,1,0.24875,0.08637,1.74086,3.44376,2.47634,0.000101,0.000101,0.000101
12,102.37,0,21.5055,0,0.00333,1,0.24875,0.07463,1.83251,3.31244,2.47054,0.00010021,0.00010021,0.00010021
13,109.614,0,21.3049,0,0.00333,1,0.24875,0.08593,1.89207,3.27919,2.45064,9.744e-05,9.744e-05,9.744e-05
14,117.656,0,21.1233,0,0.00333,1,0.199,0.06513,1.98431,3.43083,2.41591,9.269e-05,9.269e-05,9.269e-05
15,125.419,0,20.905,0,0.00333,1,0.199,0.06362,2.056,3.50272,2.43545,8.596e-05,8.596e-05,8.596e-05
16,133.312,0,20.7896,0,0.00333,1,0.199,0.07191,2.10477,3.52217,2.46438,7.725e-05,7.725e-05,7.725e-05
17,141.665,0,20.6278,0,0.00333,1,0.199,0.06852,2.14001,3.51975,2.47583,6.656e-05,6.656e-05,6.656e-05
18,149.576,0,20.5056,0,0.00333,1,0.199,0.06852,2.14001,3.51975,2.47583,5.389e-05,5.389e-05,5.389e-05
19,157.423,0,20.4624,0,0.00333,1,0.14214,0.05982,2.22302,3.55455,2.51266,3.924e-05,3.924e-05,3.924e-05
20,164.99,0,20.4148,0,0.00333,1,0.14214,0.05982,2.22302,3.55455,2.51266,2.261e-05,2.261e-05,2.261e-05
